Identifier;Competency Question / Natural language sentence (fact);Answer (For Competency Questions);"Status (Proposed, Accepted, Rejected, Deprecated)";Comments (optional);Extracted from (provenance);Relation with other requirements (optional);Associated ontology elements
FR1;The ontology shall represent Digimon entities uniquely identified by name and number.;;Proposed;Core entity of the domain.;"DigiDB_digimonlist.csv (Number; Digimon)";;Class: Digimon
FR2;The ontology shall represent the evolutionary stage of each Digimon.;;Proposed;Stage classification is required for lifecycle modeling.;DigiDB_digimonlist.csv (Stage);;Class: Stage | ObjectProperty: hasStage
FR3;"The ontology shall represent the type classification of each Digimon and support retrieving; grouping and comparing Digimon according to their type in order to reason about combat suitability in the battle team planning use case.";;Proposed;"Expanded to explicitly connect Digimon type with grouping; comparison and reasoning tasks required in the battle-oriented use case.";DigiDB_digimonlist.csv (Type);"Related to FR4; FR7; FR23 and Use Case 1.";Class: DigimonType | ObjectProperty: hasType
FR4;The ontology shall represent the attribute associated with each Digimon and support retrieving and comparing Digimon by attribute to reason about their effectiveness in different battle scenarios.;;Proposed;Expanded to better align attribute information with use case reasoning tasks and comparison queries.;DigiDB_digimonlist.csv (Attribute);"Related to FR3; FR7; FR23 and Use Case 1.";Class: Attribute | ObjectProperty: hasAttribute
FR5;The ontology shall represent the memory usage value of each Digimon.;;Proposed;Important constraint in gameplay modeling.;DigiDB_digimonlist.csv (Memory);;DatatypeProperty: hasMemory
FR6;The ontology shall represent the equipment slots available for each Digimon.;;Proposed;Relevant for modeling configuration capacity.;DigiDB_digimonlist.csv (Equip Slots);;DatatypeProperty: hasEquipSlots
FR7;"The ontology shall represent the base statistical values of Digimon at level 50 (HP; SP; Attack; Defense; Intelligence; Speed).";;Proposed;Statistical modeling enables quantitative queries.;"DigiDB_digimonlist.csv (Lv 50 HP; Lv50 SP; Lv50 Atk; Lv50 Def; Lv50 Int; Lv50 Spd)";;DatatypeProperty: hasHP | DatatypeProperty: hasSP | DatatypeProperty: hasAttack | DatatypeProperty: hasDefense | DatatypeProperty: hasIntelligence | DatatypeProperty: hasSpeed
FR8;The ontology shall represent Move entities including their name and description.;;Proposed;Moves are key combat abilities.;"DigiDB_movelist.csv (Move; Description)";;Class: Move
FR9;The ontology shall represent the SP cost of each Move.;;Proposed;Required for resource consumption modeling.;DigiDB_movelist.csv (SP Cost);;DatatypeProperty: hasSPCost
FR10;The ontology shall represent the power value of each Move.;;Proposed;Required for combat reasoning.;DigiDB_movelist.csv (Power);;DatatypeProperty: hasPower
FR11;The ontology shall represent whether a Move is inheritable.;;Proposed;Relevant for skill transfer modeling.;DigiDB_movelist.csv (Inheritable);;DatatypeProperty: isInheritable
FR12;The ontology shall represent Support Skill entities including their name and description.;;Proposed;Support skills provide passive effects.;"DigiDB_supportlist.csv (Name; Description)";;Class: SupportSkill
FR13;The ontology shall allow linking Digimon with their Moves.;;Proposed;Necessary to model which Digimon can use which Moves.;Conceptual modeling decision based on DigiDB datasets;FR8;ObjectProperty: canUseMove
